HF    FCI_atom    FCI_emb    VQE_emb
-12.576043730382057    -12.629779982126777    -12.608360698402793    (-12.60585941912232-0.00122636838566714j)
-12.576043730382057    -12.62977998212752    -12.608360698405669    (-12.606279973083106-0.0009720004986313855j)
-12.576043730382057    -12.629779982126326    -12.608360698380679    (-12.609721160391787+7.046561109205299e-05j)
-12.576043730382057    -12.629779982127795    -12.608360698415732    (-12.603931985253237+0.00022150047126094774j)
-12.576043730382057    -12.629779982126962    -12.608360698261134    (-12.609434909956578+0.0004508943212529957j)
-12.576043730382057    -12.629779982127571    -12.608360698348678    (-12.586512959105121+0.000549784535080835j)
-12.576043730382057    -12.629779982126808    -12.608360698390952    (-12.590884580519898+0.001342290974968495j)
-12.576043730382057    -12.629779982125497    -12.608360698408246    (-12.614289030019071-0.00289399043966442j)
-12.576043730382057    -12.629779982125413    -12.608360698390106    (-12.60550659072813-0.000526328358032877j)
-12.576043730382057    -12.629779982127312    -12.608360698399126    (-12.614772895031699-0.0001816546422625939j)
-12.576043730382057    -12.629779982130824    -12.608360698401329    (-12.616616612956518-0.001427998993564616j)
-12.576043730382057    -12.629779982124564    -12.608360698386898    (-12.607288474394625+0.0011284629087855596j)
-12.576043730382057    -12.629779982125868    -12.608360698414241    (-12.609308964555044-0.001455607850588975j)
-12.576043730382057    -12.629779982126426    -12.60836069838889    (-12.605234189583586+0.00017377383962682798j)
-12.576043730382057    -12.629779982127342    -12.608360697563944    (-12.612846113943363-0.001980903553054994j)
-12.576043730382057    -12.629779982125443    -12.60836069839715    (-12.6347276516655+0.0035864665000064607j)
-12.576043730382057    -12.629779982125628    -12.608360698405873    (-12.624007070673015-0.000619937219761123j)
-12.576043730382057    -12.62977998212643    -12.608360698311165    (-12.607499469504754+0.000398011825471278j)
-12.576043730382057    -12.629779982126475    -12.608360698396108    (-12.625850705586227-0.00031886911964816177j)
-12.576043730382057    -12.629779982126978    -12.608360698410808    (-12.609106694987831-0.0007291468847306251j)
-12.576043730382057    -12.629779982126921    -12.608360698415883    (-12.619039827404642-0.001074619067795644j)
-12.576043730382057    -12.629779982127431    -12.608360698391374    (-12.624805103895234-0.0020099537489825484j)
-12.576043730382057    -12.62977998212584    -12.60836069840774    (-12.605315140135573+0.0007443764331372064j)
-12.576043730382057    -12.629779982128404    -12.608360698412692    (-12.61656592498834+0.0013994614012811212j)
-12.576043730382057    -12.629779982126465    -12.60836069841817    (-12.61012343331965+0.003923841269178137j)
-12.576043730382057    -12.62977998212881    -12.608360698398833    (-12.601564190708078+0.00029431168117237324j)
-12.576043730382057    -12.62977998212674    -12.608360698399972    (-12.613600232063773-0.0002501322941256393j)
-12.576043730382057    -12.629779982124104    -12.60836069841654    (-12.608869576035852-0.002447348239171486j)
-12.576043730382057    -12.629779982128928    -12.608360698368777    (-12.609456628881146-0.002150507737061749j)
-12.576043730382057    -12.629779982128982    -12.608360698412891    (-12.60527922653884+0.0022111266071463587j)
-12.576043730382057    -12.629779982126095    -12.608360698405809    (-12.605722977635134+0.001167731926831764j)
-12.576043730382057    -12.62977998212547    -12.608360698411317    (-12.605232370008329-0.0012088279928310537j)
-12.576043730382057    -12.629779982126358    -12.608360698407207    (-12.608843772562244+0.0018635274825336589j)
-12.576043730382057    -12.629779982129081    -12.608360698393623    (-12.603289500476762+0.0002449836897599447j)
-12.576043730382057    -12.629779982127852    -12.608360698334097    (-12.59042868318247-0.0017127477730310662j)
-12.576043730382057    -12.629779982125969    -12.608360698389438    (-12.581086076354103-7.454621508864553e-05j)
-12.576043730382057    -12.629779982125989    -12.608360698410634    (-12.606245628891106+0.0023948788730115394j)
-12.576043730382057    -12.629779982126584    -12.608360698394232    (-12.615444836506693+0.0024016145859538447j)
-12.576043730382057    -12.62977998212612    -12.608360698422919    (-12.625502757743499-0.0011078443859777103j)
-12.576043730382057    -12.62977998212828    -12.608360698420706    (-12.616290442721105+0.0018352877874392216j)
-12.576043730382057    -12.629779982126234    -12.608360698413033    (-12.597683076328051-0.00036817710425586086j)
-12.576043730382057    -12.629779982125532    -12.608360698425185    (-12.599821506697282-0.0005540493977913417j)
-12.576043730382057    -12.6297799821263    -12.608360698404368    (-12.599240964041703-0.0005279819410135549j)
-12.576043730382057    -12.629779982128161    -12.608360698397432    (-12.61646242681286-0.0003271078062612802j)
-12.576043730382057    -12.629779982126141    -12.608360698332943    (-12.589089300197692-0.001308359879365139j)
-12.576043730382057    -12.629779982125314    -12.608360698421292    (-12.609481705366438-0.0025114406548345358j)
-12.576043730382057    -12.629779982129545    -12.608360698229713    (-12.611009238352045-0.0007801160572160658j)
-12.576043730382057    -12.629779982126577    -12.608360698403978    (-12.617247354810653-0.0008952346348510619j)
-12.576043730382057    -12.629779982125307    -12.608360698426981    (-12.618046309236357+0.0025426479466039553j)
-12.576043730382057    -12.629779982130051    -12.608360698395675    (-12.610993219585309+0.0016605385405426881j)
-12.576043730382057    -12.629779982125681    -12.608360698395003    (-12.617284460478379+0.0010967302444779684j)
-12.576043730382057    -12.62977998212519    -12.60836069838802    (-12.616075572353605-0.0011631582547183747j)
-12.576043730382057    -12.629779982127886    -12.608360698398778    (-12.62578059669758+0.000524719632326474j)
-12.576043730382057    -12.629779982126731    -12.608360698398666    (-12.61084093645563-0.002493824788984712j)
-12.576043730382057    -12.629779982125658    -12.60836069837135    (-12.600044341416835-0.0019004752413173621j)
-12.576043730382057    -12.629779982127097    -12.608360698450673    (-12.615055179128307-0.00020228874754580584j)
-12.576043730382057    -12.629779982126786    -12.608360698407719    (-12.60701225760421+0.0006975903123743071j)
-12.576043730382057    -12.629779982129481    -12.608360698146976    (-12.592251052768548-0.0006471078885212016j)
-12.576043730382057    -12.629779982128374    -12.608360698421048    (-12.615949081479302-0.0010736621776222532j)
-12.576043730382057    -12.629779982128415    -12.608360698398409    (-12.625877878321049-0.0032799914445530666j)
-12.576043730382057    -12.629779982126406    -12.608360698407317    (-12.610867003622618-0.0024684760213748887j)
-12.576043730382057    -12.62977998212789    -12.608360698406027    (-12.615576507199041-0.00365329881313868j)
-12.576043730382057    -12.629779982126317    -12.6083606989622    (-12.599599029951127-0.0006862133332024909j)
-12.576043730382057    -12.629779982126195    -12.608360698413602    (-12.616463142087207-0.0002820171934711262j)
-12.576043730382057    -12.629779982128898    -12.608360698408141    (-12.590397491076228-0.0002525349617297402j)
-12.576043730382057    -12.629779982125767    -12.608360698397025    (-12.603835748358126-0.0018077869712741198j)
-12.576043730382057    -12.62977998212648    -12.6083606984208    (-12.612860836510317-0.0008421152232513735j)
-12.576043730382057    -12.62977998212666    -12.608360698409212    (-12.602667104943269-0.0012681760954372015j)
-12.576043730382057    -12.629779982126461    -12.608360698373982    (-12.621923135618784-0.0026245234834030126j)
-12.576043730382057    -12.62977998212627    -12.608360698393934    (-12.616563321563156-0.003661311904804056j)
-12.576043730382057    -12.629779982128454    -12.60836069840813    (-12.627267835874413-0.0021475722073002594j)
-12.576043730382057    -12.629779982126033    -12.608360698285425    (-12.615957851865673+0.00036802982251803314j)
-12.576043730382057    -12.629779982127667    -12.60836069839555    (-12.629286430001876-0.0011295606811230912j)
-12.576043730382057    -12.629779982127344    -12.608360698397433    (-12.612939509929712+0.0006322338743504051j)
-12.576043730382057    -12.629779982125884    -12.608360698414444    (-12.607701587686-0.001165038653062059j)
-12.576043730382057    -12.629779982125148    -12.608360698414453    (-12.606888143044353-0.001532729427404123j)
-12.576043730382057    -12.629779982127289    -12.608360698404416    (-12.60591379126654-0.0010893303863417558j)
-12.576043730382057    -12.629779982124631    -12.60836069840244    (-12.616309260826869+0.00044461302335575066j)
-12.576043730382057    -12.629779982126525    -12.608360698396762    (-12.609453111531307-0.0015382548598783245j)
-12.576043730382057    -12.629779982128245    -12.608360698378334    (-12.609552187401093-0.0026317412984751525j)
-12.576043730382057    -12.629779982126482    -12.608360698397602    (-12.612542684636239+0.0007663082846238012j)
-12.576043730382057    -12.629779982128452    -12.608360698415144    (-12.605262397497015-0.0002946539166915633j)
-12.576043730382057    -12.629779982128323    -12.60836069842063    (-12.599802321025052+0.000222710044263561j)
-12.576043730382057    -12.62977998212647    -12.608360698379487    (-12.605466667749548-0.0018437413083894135j)
