HF    FCI_atom    FCI_emb    VQE_emb
-12.512483296399608    -12.589370599130813    -12.556662352247944    (-12.55383806913628+0.0018011429377338673j)
-12.512483296399608    -12.589370599127736    -12.55666235213733    (-12.565453973513101-0.0002992104721261643j)
-12.512483296399608    -12.589370599126989    -12.556662352179998    (-12.557804927801135-0.0008879175757425231j)
-12.512483296399608    -12.589370599126932    -12.556662352235989    (-12.56439404822815-2.6647203382556115e-05j)
-12.512483296399608    -12.5893705991298    -12.556662352274852    (-12.54928346426685-0.0017138375658943426j)
-12.512483296399608    -12.589370599129099    -12.556662352240364    (-12.557668302216694-0.001997137676610434j)
-12.512483296399608    -12.589370599124218    -12.556662352189415    (-12.559604450214103-0.002115039378196587j)
-12.512483296399608    -12.589370599126175    -12.556662352268669    (-12.566206840978072-0.0014956593641972176j)
-12.512483296399608    -12.589370599127694    -12.556662352236426    (-12.588259816416247+0.008065089549686691j)
-12.512483296399608    -12.589370599125626    -12.556662352237844    (-12.56513679219204-0.004820634703276117j)
-12.512483296399608    -12.589370599126521    -12.556662352339986    (-12.557716568621508-0.002367256615224776j)
-12.512483296399608    -12.589370599130401    -12.556662352243478    (-12.552357785077493+0.003453369842011513j)
-12.512483296399608    -12.589370599127808    -12.556662352240744    (-12.561733882681876-0.0023116561061008313j)
-12.512483296399608    -12.589370599126283    -12.556662352216625    (-12.557882155466796-0.0008350384412345923j)
-12.512483296399608    -12.58937059912419    -12.556662352247216    (-12.573722848488206+0.0001194866001205288j)
-12.512483296399608    -12.589370599124475    -12.556662354087559    (-12.557483224237698+0.0008904777106577121j)
-12.512483296399608    -12.589370599125978    -12.556662352019103    (-12.556178832919702-0.0012940345605580053j)
-12.512483296399608    -12.589370599129287    -12.556662352242675    (-12.555795084431491-0.0011669058875958878j)
-12.512483296399608    -12.589370599123994    -12.556662352245882    (-12.55535997871069-0.0002967318010300679j)
-12.512483296399608    -12.589370599126479    -12.556662350413362    (-12.560868127853269+0.0033573314386319483j)
-12.512483296399608    -12.589370599128614    -12.55666235223836    (-12.556409299737398+0.00012774311291247731j)
-12.512483296399608    -12.589370599125338    -12.55666235241755    (-12.551912742375592+2.9661455877015136e-05j)
-12.512483296399608    -12.589370599126863    -12.556662352385777    (-12.564513424319943+0.000566973781190359j)
-12.512483296399608    -12.589370599128788    -12.556662352234053    (-12.561445995131638-0.0026990118043784296j)
-12.512483296399608    -12.589370599122601    -12.556662352242812    (-12.548157130435625-0.00238455738116114j)
-12.512483296399608    -12.589370599126363    -12.55666235224201    (-12.553152022639255+0.0005153231355898131j)
-12.512483296399608    -12.589370599124326    -12.556662352251081    (-12.54749563484246-0.0009853109092152381j)
-12.512483296399608    -12.589370599127584    -12.55666235223957    (-12.550524713254053+0.00023313661670766947j)
-12.512483296399608    -12.589370599127541    -12.556662352237566    (-12.569141819553971+0.002864398753825999j)
-12.512483296399608    -12.58937059912923    -12.556662352245922    (-12.548340972627564-5.316503448989237e-05j)
-12.512483296399608    -12.589370599127873    -12.556662352244603    (-12.559147617399363+0.0003988916126737392j)
-12.512483296399608    -12.589370599129548    -12.556662352149122    (-12.560008256120236-0.001367461150324034j)
-12.512483296399608    -12.589370599124834    -12.55666235223504    (-12.562925519860888-0.0004268217384245304j)
-12.512483296399608    -12.589370599126775    -12.556662352112912    (-12.550900314621598+0.0028426240689727314j)
-12.512483296399608    -12.589370599126807    -12.556662352228308    (-12.556669052893016+0.00043133173327672105j)
-12.512483296399608    -12.58937059912483    -12.556662352205212    (-12.568626621561444-0.008682553619289561j)
-12.512483296399608    -12.589370599125917    -12.556662352238776    (-12.558646060283792+0.00038402575851953036j)
-12.512483296399608    -12.589370599125116    -12.5566623522433    (-12.562365947749642-5.099942395046312e-05j)
-12.512483296399608    -12.589370599133488    -12.556662352244507    (-12.556555136021874+0.0008731222493521582j)
-12.512483296399608    -12.589370599125765    -12.556662352248656    (-12.56418803667725+0.0032060667780229564j)
-12.512483296399608    -12.589370599127944    -12.556662352019686    (-12.558588370847584-0.0027742773431948375j)
-12.512483296399608    -12.589370599125328    -12.55666235224428    (-12.552505146336566+0.0005001440596333469j)
-12.512483296399608    -12.589370599126067    -12.556662352222988    (-12.560742788463665+0.003378586267795049j)
-12.512483296399608    -12.589370599127859    -12.556662352230466    (-12.553473875124196+0.0020247269964598132j)
-12.512483296399608    -12.589370599124354    -12.556662352243118    (-12.5560002381438+0.00182239399741426j)
-12.512483296399608    -12.589370599127495    -12.556662352196872    (-12.561808127876834+0.00030137608762504216j)
