HF    FCI_atom    FCI_emb    VQE_emb
-12.328981681620695    -12.426340143056716    -12.38690054238827    (-12.389682889489592+0.0006156184423657727j)
-12.328981681620695    -12.426340143060182    -12.38690054237032    (-12.38999481743099-2.6713150320497657e-05j)
-12.328981681620695    -12.426340143044358    -12.386900542234864    (-12.383630030751993+0.0023367432147419105j)
-12.328981681620695    -12.426340143051144    -12.38690054253587    (-12.39115989848369+0.001145588395960318j)
-12.328981681620695    -12.426340138894389    -12.38690054242848    (-12.39378674034966-0.0027376657864040927j)
-12.328981681620695    -12.426340143023566    -12.386900542429432    (-12.393522110801392+0.0004926335773079114j)
-12.328981681620695    -12.426340143058425    -12.386900542318463    (-12.38174565607253+0.0008533389900870006j)
-12.328981681620695    -12.426340138886456    -12.38690054144688    (-12.378263707646134+0.003195350053086715j)
-12.328981681620695    -12.426340143050941    -12.386900542366723    (-12.377081133197246+0.003758368632812347j)
-12.328981681620695    -12.426340143052848    -12.38690054233264    (-12.379763290679612+0.0008359639277610094j)
-12.328981681620695    -12.426340143046252    -12.386900542331967    (-12.397665053894922+0.007167485605507448j)
-12.328981681620695    -12.426340143045326    -12.386900542337376    (-12.401275928699844+0.0016874368618731124j)
-12.328981681620695    -12.426340143029872    -12.386900542338534    (-12.394763444509996-0.002718513097938067j)
-12.328981681620695    -12.42634014305767    -12.386900542340719    (-12.382173781072208+0.0029925459546359624j)
-12.328981681620695    -12.42634014304664    -12.386900542335606    (-12.392202453338593+0.0021140214734835304j)
-12.328981681620695    -12.426340138890685    -12.386900542549835    (-12.388206934907835-0.00011544265911750969j)
-12.328981681620695    -12.426340143044508    -12.386900542334597    (-12.385919635964523-0.0008844720409530286j)
-12.328981681620695    -12.426340143046763    -12.386900542332555    (-12.386952255281864-0.0014995277975860535j)
-12.328981681620695    -12.426340143040012    -12.386900542043216    (-12.376163874203057+0.003930800710428108j)
-12.328981681620695    -12.426340143044305    -12.38690054238309    (-12.3887143717244-9.615561353136213e-05j)
-12.328981681620695    -12.4263401388784    -12.386900542395173    (-12.388627877743723+0.00020494003992689182j)
-12.328981681620695    -12.426340143064001    -12.386900542416504    (-12.384372391528547-0.0037980360724838994j)
-12.328981681620695    -12.426340143071853    -12.386900542360765    (-12.407682900095253-0.0002259918769007504j)
-12.328981681620695    -12.426340143068527    -12.386900542528348    (-12.377956395655119+0.0015637197168111858j)
-12.328981681620695    -12.426340143060797    -12.386900542263566    (-12.37367605845888-0.0012040186637837453j)
-12.328981681620695    -12.426340143057116    -12.386900542326321    (-12.394790164415467-0.002262269531133777j)
-12.328981681620695    -12.426340143061784    -12.3869005423438    (-12.37316785445522-0.0033168802059140036j)
-12.328981681620695    -12.426340138862995    -12.38690054207401    (-12.372053386413842+0.003606167971771078j)
-12.328981681620695    -12.426340138880095    -12.386900542494322    (-12.386321475970524-0.0015625031463401336j)
-12.328981681620695    -12.426340143058631    -12.386900542394473    (-12.379377995832174+0.0006355883934319705j)
-12.328981681620695    -12.426340143066234    -12.38690054220708    (-12.38265930785358-0.0013569084807657978j)
-12.328981681620695    -12.426340143017928    -12.386900542332874    (-12.381655217230271+0.0005035145745628665j)
-12.328981681620695    -12.426340143027756    -12.386900542375406    (-12.400195642788603+0.0035705725064785012j)
-12.328981681620695    -12.426340143041443    -12.386900542346101    (-12.400744364426815+0.0012225264018317571j)
-12.328981681620695    -12.426340143045598    -12.386900541341813    (-12.400084158201079+0.0015334244739527826j)
-12.328981681620695    -12.426340143054167    -12.386900542247718    (-12.395201400562652+0.0016656790955753699j)
-12.328981681620695    -12.426340143065525    -12.386900542337518    (-12.382181964852764+0.0011009596452033856j)
-12.328981681620695    -12.426340138881018    -12.386900542409657    (-12.389502651081376+0.0019524844633309895j)
-12.328981681620695    -12.426340143036912    -12.386900543543549    (-12.37293744050042-0.0023739185518099324j)
-12.328981681620695    -12.426340143052805    -12.386900542333835    (-12.395461653654587-0.0002976713438603009j)
-12.328981681620695    -12.426340143044996    -12.386900542178    (-12.379581987276534+0.0022470629526477708j)
-12.328981681620695    -12.426340143051263    -12.38690054232944    (-12.390025522697965+0.00020492706567240681j)
-12.328981681620695    -12.42634014304402    -12.386900542334226    (-12.404312715361392-0.0006429568479374523j)
-12.328981681620695    -12.426340143038312    -12.386900542377703    (-12.390617849258879-0.004094309711051933j)
-12.328981681620695    -12.42634014304421    -12.386900542160244    (-12.392368498154564+0.0008749825548963657j)
-12.328981681620695    -12.426340143057459    -12.386900542437688    (-12.393113100585078-0.0010876858916254349j)
-12.328981681620695    -12.426340138902338    -12.386900542339005    (-12.395838305185563+0.0005446997088901732j)
-12.328981681620695    -12.426340143055198    -12.386900542329155    (-12.41166943311204-0.002568980979203533j)
-12.328981681620695    -12.426340143045351    -12.38690054231558    (-12.39233696403132+0.004009617507672441j)
-12.328981681620695    -12.426340143051    -12.386900542463382    (-12.396687030535192+0.004055393715172966j)
-12.328981681620695    -12.42634014305022    -12.386900542259472    (-12.39339741063974+0.0006075250581678071j)
-12.328981681620695    -12.426340138890385    -12.386900542406643    (-12.389081060528557-0.0014558039566393312j)
-12.328981681620695    -12.426340143034919    -12.386900542553105    (-12.401124052678792-0.0017512759197681172j)
-12.328981681620695    -12.426340143038875    -12.386900542334715    (-12.40407196944676+0.0023855194921403745j)
