HF    FCI_atom    FCI_emb    VQE_emb
-12.38720844798984    -12.429380821296325    -12.414350943846634    (-12.411963921988502-0.0002464267977710007j)
-12.38720844798984    -12.429380821297894    -12.414350943865333    (-12.41217659788598+0.00020437374248763977j)
-12.38720844798984    -12.429380821297562    -12.414350943862567    (-12.413962919989482+0.0024085344736083404j)
-12.38720844798984    -12.429380821296647    -12.414350943835409    (-12.417534613458507-0.0026097042118955398j)
-12.38720844798984    -12.429380821297356    -12.414350943814608    (-12.404399732992388+0.0005483430908308599j)
-12.38720844798984    -12.42938082129808    -12.414350943854664    (-12.420186066926409+0.002562543472636814j)
-12.38720844798984    -12.429380821298322    -12.414350943857182    (-12.425336197023073-0.0019764703969879847j)
-12.38720844798984    -12.429380821298512    -12.414350943844422    (-12.40805632223476-0.0014399642484732946j)
-12.38720844798984    -12.429380821297379    -12.414350943842964    (-12.416789475385709-0.001427769747798021j)
-12.38720844798984    -12.429380821297663    -12.414350943845147    (-12.422356661806283-9.15012515237016e-05j)
-12.38720844798984    -12.429380821296348    -12.414350943858153    (-12.416679889384177+0.0008980160586597244j)
-12.38720844798984    -12.429380821296993    -12.414350943862763    (-12.420119272169172+0.0024818667651308763j)
-12.38720844798984    -12.429380821297922    -12.414350943862022    (-12.421725653269423-0.00033302407297314333j)
-12.38720844798984    -12.429380821297467    -12.41435094385616    (-12.432090376095832+0.0006091446365754687j)
-12.38720844798984    -12.429380821298144    -12.414350943844989    (-12.415100663952444+0.0010975811244901322j)
-12.38720844798984    -12.429380821298606    -12.414350943710483    (-12.414420400463102-0.00021528794504539842j)
-12.38720844798984    -12.429380821297237    -12.414350943830724    (-12.404827916218851-0.0012635379230598836j)
-12.38720844798984    -12.429380821299763    -12.41435094386127    (-12.414249121644865-0.0013868927106674858j)
-12.38720844798984    -12.429380821298901    -12.414350943816247    (-12.412453222859458+0.0008768280681072377j)
-12.38720844798984    -12.429380821296592    -12.414350943841576    (-12.420813696574967+0.0010015729657333666j)
-12.38720844798984    -12.429380821297341    -12.414350943851282    (-12.416662226527777+0.0012678961694363167j)
-12.38720844798984    -12.429380821296489    -12.414350943812492    (-12.41957280623271-0.000924992160199148j)
