c0    e_fci    e_hf    ansatz_energy    HF+CS    HF+meas_diag    pauli_all    pauli_qbw    CCSD
-0.22597523224224786    -4.680890710345007    -3.5309080096735483    -4.680891320021179    -4.373945530839055    -5.102239833796562    -5.002358176709158    4.083064162352573    -4.786815721985896
-0.22597523224224786    -4.680890710345007    -3.5309080096735483    -4.680891320022417    -4.225605075692585    -5.14807020067591    -4.499130709691642    4.083064162352573    -4.786815721985896
-0.22597523224224786    -4.680890710345007    -3.5309080096735483    -4.6808913198764435    -5.136121636586774    -3.232324203401681    -4.440213810444945    4.083064162352573    -4.786815721985896
-0.22597523224224786    -4.680890710345007    -3.5309080096735483    -4.680891319875514    -4.760965266235612    -4.009145198596017    -5.186294953513626    4.083064162352573    -4.786815721985896
-0.22597523224224786    -4.680890710345007    -3.5309080096735483    -4.680891319987787    -4.419755282074166    -5.6338464458376905    -4.546877730261689    4.083064162352573    -4.786815721985896
-0.22597523224224786    -4.680890710345007    -3.5309080096735483    -4.680891319979781    -5.239361889093757    -4.773407455927323    -4.564550753422325    4.083064162352573    -4.786815721985896
-0.22597523224224786    -4.680890710345007    -3.5309080096735483    -4.680891319990175    -5.457049584403258    -4.288886389590082    -4.749870101035163    4.083064162352573    -4.786815721985896
-0.22597523224224786    -4.680890710345007    -3.5309080096735483    -4.680891320020529    -4.914649285839232    -2.814032658250124    -4.102834387928561    4.083064162352573    -4.786815721985896
-0.22597523224224786    -4.680890710345007    -3.5309080096735483    -4.680891320030653    -4.216734181717427    -4.741526930256248    -4.828894678735332    4.083064162352573    -4.786815721985896
-0.22597523224224786    -4.680890710345007    -3.5309080096735483    -4.680891320007876    -4.9107234031349085    -4.979155859817763    -4.572774954084843    4.083064162352573    -4.786815721985896
-0.22597523224224786    -4.680890710345007    -3.5309080096735483    -4.680891320011731    -5.317749109404015    -5.7402534229556    -4.761674348757067    4.083064162352573    -4.786815721985896
-0.22597523224224786    -4.680890710345007    -3.5309080096735483    -4.680891320023046    -4.8985511934513255    -6.3809154350734865    -4.758680763668986    4.083064162352573    -4.786815721985896
-0.22597523224224786    -4.680890710345007    -3.5309080096735483    -4.680891320022444    -4.365114481658772    -5.642790287804227    -4.829158192913048    4.083064162352573    -4.786815721985896
-0.22597523224224786    -4.680890710345007    -3.5309080096735483    -4.680891319987848    -5.141414788129283    -4.793461922438434    -4.954873577086815    4.083064162352573    -4.786815721985896
-0.22597523224224786    -4.680890710345007    -3.5309080096735483    -4.680891319902353    -4.278957462678017    -4.7999848083093735    -4.75366579772844    4.083064162352573    -4.786815721985896
-0.22597523224224786    -4.680890710345007    -3.5309080096735483    -4.680891320031653    -4.599175020145542    -4.562686128687856    -4.826709781535477    4.083064162352573    -4.786815721985896
-0.22597523224224786    -4.680890710345007    -3.5309080096735483    -4.680891320020442    -4.842878723313559    -4.080571582559777    -4.57214181704086    4.083064162352573    -4.786815721985896
-0.22597523224224786    -4.680890710345007    -3.5309080096735483    -4.6808913199365785    -4.9578254175907785    -4.98882504861603    -4.445431026844074    4.083064162352573    -4.786815721985896
-0.22597523224224786    -4.680890710345007    -3.5309080096735483    -4.6808913200143065    -4.321004790040283    -5.720513796084705    -4.286946422528697    4.083064162352573    -4.786815721985896
-0.22597523224224786    -4.680890710345007    -3.5309080096735483    -4.680891320025753    -4.424614007885457    -6.121449862850227    -4.082117468177184    4.083064162352573    -4.786815721985896
