c0    e_fci    e_hf    ansatz_energy    HF+CS    HF+meas_diag    pauli_all    pauli_qbw    CCSD
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.8856817252642775-0.10937715325893989j)    -1.8764570113242023    -1.9489103733868627    -1.8673555360432772    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.855931350053099+0.13720507581484537j)    -1.9108331347173972    -1.8565575037451345    -2.0337060535381615    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.9237221468897412+0.05363403580252353j)    -1.8585776129217582    -1.9449281770608067    -1.962006123380676    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.8549256062180755-0.10372182560426771j)    -1.8934365819730377    -1.8712790471270548    -1.9135209130690287    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.8588847075114892-0.002092937914282771j)    -1.898548529604171    -1.9454546729697473    -1.8649114215536229    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.9256636499389586-0.02035123940586263j)    -1.8800551467823787    -1.9816900234022052    -1.7805015853885084    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.9214848917729928+0.023109414043341867j)    -1.9557789278371525    -1.7898165301947973    -1.95376883330398    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.8468834466071649+0.012090559621530186j)    -1.8703924160998242    -1.8631761307265975    -1.898163001148315    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.8823345664910394+0.023794819349839926j)    -1.8971084575891792    -1.951008088290158    -1.8238265614605644    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.8229795431139157-0.04923756661984395j)    -1.8387830956097622    -1.830745212078574    -1.870717005261523    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.8772676650062816+0.05139084509732142j)    -1.9344993547141975    -1.8472068722651995    -2.026943035636887    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.8225252564291583-0.006403058860612348j)    -1.8439378776378685    -1.896752898300751    -1.8629996082827913    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.9104998983471742-0.03812069177275794j)    -1.8994446601659687    -1.8454338333201294    -2.001658125965863    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.9726384737653149-0.0030430610261140503j)    -1.8583259670427066    -2.00084888530006    -1.9159565376058758    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.848381395612907-0.0001500119541029864j)    -1.8850024758712678    -2.0427572186416665    -1.745163174470677    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.8818575842934582-0.048792639885487286j)    -1.9036263570250742    -1.831581724349587    -1.8372273610743108    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.8373177083332548+0.02362019660406752j)    -1.8837752405656327    -1.8599740345636047    -1.9487259955795238    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.9172102618082596+0.028381472886996488j)    -1.9293065232614053    -2.069126002050877    -1.8629495167744352    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.9162820615267009-0.0173012352540998j)    -1.8695626124427625    -1.91656263592924    -2.0093333353361937    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.8658471411488695-0.05754877237064338j)    -1.8912289739241888    -1.8512871091139993    -1.9367577856934322    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.8925005179626555+0.13003859420235675j)    -1.9056363871374957    -1.88938044299082    -1.9199069423658752    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.898362563379047-0.04891590609919006j)    -1.9519975464155572    -1.9042395370794496    -1.8686488277684514    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.9116273963735027-0.12628467510504074j)    -1.900819161561496    -1.8892728055498484    -1.8994483975469603    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.86882484022783-0.0046423539715907776j)    -1.8838790570391017    -1.8526097468582186    -1.901968147926558    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.9159559486593305+0.06366418045975314j)    -1.9235384902564603    -1.9487502741007279    -1.9280702027007908    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.940008256740128+0.03732631516215231j)    -1.8677244850600951    -1.9408042012064388    -1.859481260392495    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.884274295160884-0.07658019108728596j)    -1.9513088866398878    -1.9408328083871913    -1.8444794776955813    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.857324841522533+0.09295842595250432j)    -1.9645444333268411    -1.9054706987942034    -2.0023833998981915    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.9567340727859501-0.06236003063985878j)    -1.8819655123819208    -1.910439846168743    -2.00163177402725    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.802588528035155-0.00263733081746204j)    -1.8608626131329173    -1.866237170069634    -1.9182841255221619    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.9333421219671887+0.0045916617021268665j)    -1.9107457641424257    -1.90681486560956    -1.8799583947174612    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.8531486804617119+0.03787569635747051j)    -1.8532301903347936    -1.8550515660297684    -2.116330804885775    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.9148698979566754-0.04454721675690541j)    -1.8857426116931284    -1.9188594302831465    -2.1551280779005784    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.8501756874669797+0.055793690307508456j)    -1.9437379328701998    -1.8310358649250245    -1.9048169904719248    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.9277572171570296+0.024058380083068848j)    -1.9093983926180518    -1.8470882246897375    -1.907368588938924    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.8892917543816532-0.04274254413594871j)    -1.8941138082486455    -1.8975615699386383    -1.7265112059464707    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.8886021971024702-0.05847290508084678j)    -1.9370031454177625    -1.8966791332330273    -1.9685732177584598    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.8745307921232885-0.0016607896656579571j)    -1.8374350979341925    -1.9063959339094065    -1.943833050754844    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.8599995962733367-0.044622269794059644j)    -1.8680780655949716    -1.8285938679588996    -1.8828676507910516    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.947742223221688-0.003710930178617556j)    -1.9432245287320704    -2.013361069474373    -1.7737504521599834    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.9486499121522909+0.0019212406711618822j)    -1.9006742166175181    -1.8989714772961364    -1.869563570597405    -1.9160861180398077
