c0    e_fci    e_hf    ansatz_energy    HF+CS    HF+meas_diag    pauli_all    pauli_qbw    CCSD
-0.30882092363990954    -3.744655512296502    -2.8238445396746643    -3.744655512296502    (-3.970821332732641-0.10990885268047647j)    -2.878359924909743    -4.005239989653655    -3.8992613336633384    -3.8080760010841175
-0.30882092363990954    -3.744655512296502    -2.8238445396746643    -3.744655512296502    (-3.839329623402968+0.343320341589567j)    -3.7100287604995783    -3.8123741218182987    -4.457108852032537    -3.8080760010841175
-0.30882092363990954    -3.744655512296502    -2.8238445396746643    -3.744655512296502    (-3.9463433290917953+0.23484764587980175j)    -3.1352283537107954    -3.5907554962138395    -3.6566051480321935    -3.8080760010841175
-0.30882092363990954    -3.744655512296502    -2.8238445396746643    -3.744655512296502    (-3.7094369404627376-0.09158101009772182j)    -3.07243271368068    -3.3574287877196674    -3.12119295025183    -3.8080760010841175
-0.30882092363990954    -3.744655512296502    -2.8238445396746643    -3.744655512296502    (-3.689630115546535-0.0746723554003514j)    -3.2991316395783974    -3.957267482967277    -4.322660808755813    -3.8080760010841175
-0.30882092363990954    -3.744655512296502    -2.8238445396746643    -3.744655512296502    (-3.720785612085531+0.37597791259973595j)    -3.0945988255295593    -3.9252418379899883    -3.6765905205154934    -3.8080760010841175
-0.30882092363990954    -3.744655512296502    -2.8238445396746643    -3.744655512296502    (-3.5705642692698287+0.14043721416871482j)    -3.1563235958250777    -3.727421971354314    -3.573604989478328    -3.8080760010841175
-0.30882092363990954    -3.744655512296502    -2.8238445396746643    -3.744655512296502    (-4.048846146736895+0.24634841247344944j)    -3.347375372227041    -3.781969424744343    -3.9518353904052197    -3.8080760010841175
-0.30882092363990954    -3.744655512296502    -2.8238445396746643    -3.744655512296502    (-3.642370916912005+0.003774370774292935j)    -3.5110211820398556    -3.71617741054141    -3.3583009337883776    -3.8080760010841175
-0.30882092363990954    -3.744655512296502    -2.8238445396746643    -3.744655512296502    (-3.359642491085972+0.6158151777741123j)    -3.2763655683926505    -3.722582902758148    -3.4899326540991127    -3.8080760010841175
-0.30882092363990954    -3.744655512296502    -2.8238445396746643    -3.744655512296502    (-3.4412719752898724+0.03739960750039703j)    -3.3411327627426743    -3.6102308163119115    -3.5238708717123366    -3.8080760010841175
-0.30882092363990954    -3.744655512296502    -2.8238445396746643    -3.744655512296502    (-3.381826683913167-0.020257748618471055j)    -2.9944205666736483    -3.6982553714919892    -3.2563715121894643    -3.8080760010841175
-0.30882092363990954    -3.744655512296502    -2.8238445396746643    -3.744655512296502    (-3.27111749996783+0.11947736512549205j)    -2.9981418830078246    -3.5639607161730322    -3.5861042126583054    -3.8080760010841175
-0.30882092363990954    -3.744655512296502    -2.8238445396746643    -3.744655512296502    (-3.638846568604675+0.07904885474009032j)    -3.285598853580856    -3.6119411138692183    -4.013237569345891    -3.8080760010841175
-0.30882092363990954    -3.744655512296502    -2.8238445396746643    -3.744655512296502    (-3.8560915209589295-0.14694562623282587j)    -4.0905114253491295    -3.788809467924127    -3.759253753842821    -3.8080760010841175
-0.30882092363990954    -3.744655512296502    -2.8238445396746643    -3.744655512296502    (-3.814942256406377-0.15630239244317218j)    -3.039676620675142    -3.9895088238185243    -3.698138646514263    -3.8080760010841175
-0.30882092363990954    -3.744655512296502    -2.8238445396746643    -3.744655512296502    (-3.5209628256526173+0.35343508776774324j)    -3.363438995206809    -3.5567724032623618    -3.2982974818493296    -3.8080760010841175
-0.30882092363990954    -3.744655512296502    -2.8238445396746643    -3.744655512296502    (-3.8405525969230556+0.18356062712425547j)    -3.451432901967963    -3.80880224650543    -4.205609417522106    -3.8080760010841175
-0.30882092363990954    -3.744655512296502    -2.8238445396746643    -3.744655512296502    (-3.438377368422022-0.442880923402896j)    -3.7904257189843857    -3.733076014262538    -3.825323254003254    -3.8080760010841175
-0.30882092363990954    -3.744655512296502    -2.8238445396746643    -3.744655512296502    (-4.367844165322466+0.5031729079422185j)    -3.462972838030636    -3.7456912820821855    -4.38647808157834    -3.8080760010841175
-0.30882092363990954    -3.744655512296502    -2.8238445396746643    -3.744655512296502    (-3.7249523352225222-0.5572271950250651j)    -3.968808331715156    -3.8620960790503425    -2.9212407161413343    -3.8080760010841175
-0.30882092363990954    -3.744655512296502    -2.8238445396746643    -3.744655512296502    (-3.551708138515952+0.5610098339517097j)    -3.390099517075125    -3.8964047759750136    -3.8959518362821144    -3.8080760010841175
-0.30882092363990954    -3.744655512296502    -2.8238445396746643    -3.744655512296502    (-3.7426336292065425+0.6161623663130932j)    -3.719861867890162    -3.8122954908882503    -4.30377247000022    -3.8080760010841175
-0.30882092363990954    -3.744655512296502    -2.8238445396746643    -3.744655512296502    (-3.6397380130877424+0.17747120394915342j)    -3.682175185016076    -3.928145731642264    -3.7812490070269775    -3.8080760010841175
-0.30882092363990954    -3.744655512296502    -2.8238445396746643    -3.744655512296502    (-3.509742713370705+0.12388860114339718j)    -3.4903396962270756    -3.464862361858749    -3.779059875427851    -3.8080760010841175
-0.30882092363990954    -3.744655512296502    -2.8238445396746643    -3.744655512296502    (-3.4501287750659837-0.23148047393298155j)    -3.0062202462016745    -3.8148714158438914    -2.8544429500683925    -3.8080760010841175
-0.30882092363990954    -3.744655512296502    -2.8238445396746643    -3.744655512296502    (-3.5151920206796627-0.5369176224983235j)    -2.969350748459817    -3.958218583190704    -2.6651377013243067    -3.8080760010841175
-0.30882092363990954    -3.744655512296502    -2.8238445396746643    -3.744655512296502    (-3.9925057480391954-0.15078920073880095j)    -3.9885305874049752    -3.6763415936795307    -3.52318797691337    -3.8080760010841175
-0.30882092363990954    -3.744655512296502    -2.8238445396746643    -3.744655512296502    (-3.5706066972694472+0.15875010899310307j)    -3.5296646989290648    -3.939557863208231    -3.2959614880331416    -3.8080760010841175
-0.30882092363990954    -3.744655512296502    -2.8238445396746643    -3.744655512296502    (-3.62733565297553+0.17025341080402998j)    -3.39260225818304    -4.000325099285636    -3.379919207829458    -3.8080760010841175
-0.30882092363990954    -3.744655512296502    -2.8238445396746643    -3.744655512296502    (-3.6664044121805333+0.17975975810678274j)    -3.21256301576273    -3.445911701048497    -4.5047328820746255    -3.8080760010841175
-0.30882092363990954    -3.744655512296502    -2.8238445396746643    -3.744655512296502    (-4.055236036807379-0.05306687079805536j)    -3.6092681574686885    -3.680966776691712    -3.7241448896762663    -3.8080760010841175
-0.30882092363990954    -3.744655512296502    -2.8238445396746643    -3.744655512296502    (-4.11439448665705+0.7539240291561292j)    -3.152518854205641    -3.6327422209871965    -3.694719966854735    -3.8080760010841175
-0.30882092363990954    -3.744655512296502    -2.8238445396746643    -3.744655512296502    (-3.399218806061648-0.15323860654268462j)    -3.425800530100989    -3.833095170284787    -3.944656306181636    -3.8080760010841175
-0.30882092363990954    -3.744655512296502    -2.8238445396746643    -3.744655512296502    (-3.7773984551448825+0.434082691069333j)    -3.689978353538673    -3.746674981450585    -4.230446526303817    -3.8080760010841175
-0.30882092363990954    -3.744655512296502    -2.8238445396746643    -3.744655512296502    (-3.55086114662304-0.3030817572293843j)    -3.014523392577373    -3.911913157351224    -4.559646682057905    -3.8080760010841175
-0.30882092363990954    -3.744655512296502    -2.8238445396746643    -3.744655512296502    (-4.708609595819392-0.04729006708530215j)    -3.230066500212758    -3.708003072689468    -4.134287513984371    -3.8080760010841175
-0.30882092363990954    -3.744655512296502    -2.8238445396746643    -3.744655512296502    (-3.7424719828384223-0.12699085960545886j)    -3.3224172430228407    -3.8608721799902233    -3.4523499389955457    -3.8080760010841175
-0.30882092363990954    -3.744655512296502    -2.8238445396746643    -3.744655512296502    (-4.007674924388086-0.2330495246181164j)    -3.086373666495739    -3.6534461816331367    -4.140486967515973    -3.8080760010841175
-0.30882092363990954    -3.744655512296502    -2.8238445396746643    -3.744655512296502    (-3.5797270983403053-0.6168359521326341j)    -3.3644466327644333    -3.983641610178965    -3.1564042866183866    -3.8080760010841175
-0.30882092363990954    -3.744655512296502    -2.8238445396746643    -3.744655512296502    (-3.545226665805706-0.013015543148883387j)    -3.079267972962036    -3.66739992451141    -3.866475016958186    -3.8080760010841175
-0.30882092363990954    -3.744655512296502    -2.8238445396746643    -3.744655512296502    (-4.165892272129044-0.1581345134418931j)    -3.066277589591192    -3.613874997768984    -3.498087241333603    -3.8080760010841175
-0.30882092363990954    -3.744655512296502    -2.8238445396746643    -3.744655512296502    (-3.5674995707654955-0.026307245417432932j)    -3.7228349557700073    -3.7538935345443356    -3.201292850732197    -3.8080760010841175
-0.30882092363990954    -3.744655512296502    -2.8238445396746643    -3.744655512296502    (-3.691676855510421-0.4246075422466896j)    -3.154782552438984    -3.9803495568886573    -4.556137330296253    -3.8080760010841175
-0.30882092363990954    -3.744655512296502    -2.8238445396746643    -3.744655512296502    (-3.5842294132768715+0.439523153451908j)    -3.0762233364142433    -3.959603494042322    -4.346661702114498    -3.8080760010841175
-0.30882092363990954    -3.744655512296502    -2.8238445396746643    -3.744655512296502    (-3.46389967302793-0.09378617111660764j)    -3.207602167455904    -3.605793950933066    -4.105042613718395    -3.8080760010841175
-0.30882092363990954    -3.744655512296502    -2.8238445396746643    -3.744655512296502    (-3.7602601613247684+0.27999411358924664j)    -3.655102661454303    -3.6801751706585555    -3.411268701652165    -3.8080760010841175
