E_HF    E_int_FCI_emb    E_FCI_emb    E_CS_emb    Sz_HF    Sz_int_FCI_emb    Sz_FCI_emb    Sz_CS_emb
-368.04510495024135    -368.07077234887527    -368.0707723488009    -368.0920952891573    0.6017019970707729    0.5379557802226608    0.5618446953002167    0.956153703021566
-368.04510495024135    -368.07077234891705    -368.0707723488009    -368.0569942469225    0.6017019970707729    0.5379557828272246    0.5618446953002167    1.0361742975508028
-368.04510495024135    -368.0707723489431    -368.0707723488009    -368.06810725165593    0.6017019970707729    0.5379557739583672    0.5618446953002167    0.9362989228847663
-368.04510495024135    -368.0707723488678    -368.0707723488009    -368.0893753973452    0.6017019970707729    0.5379557808339053    0.5618446953002167    1.0651616087315354
-368.04510495024135    -368.0707723489618    -368.0707723488009    -368.07568089992435    0.6017019970707729    0.5379557782900974    0.5618446953002167    0.967701222617195
-368.04510495024135    -368.07077234882377    -368.0707723488009    -368.0510386809865    0.6017019970707729    0.5379557820430004    0.5618446953002167    0.9327056030047316
-368.04510495024135    -368.07077234894587    -368.0707723488009    -368.0825257459401    0.6017019970707729    0.5379557723169942    0.5618446953002167    0.9431705772886699
-368.04510495024135    -368.07077234886896    -368.0707723488009    -368.07611456253267    0.6017019970707729    0.5379557832799525    0.5618446953002167    1.0391751046905089
-368.04510495024135    -368.0707723488991    -368.0707723488009    -368.05769098576553    0.6017019970707729    0.5379557768947807    0.5618446953002167    0.8961727160874596
-368.04510495024135    -368.0707723488077    -368.0707723488009    -368.07821220105444    0.6017019970707729    0.5379557779959361    0.5618446953002167    0.9313406103864585
-368.04510495024135    -368.0707723488258    -368.0707723488009    -368.08313355953595    0.6017019970707729    0.5379557769470485    0.5618446953002167    0.9792244413516381
-368.04510495024135    -368.0707723488372    -368.0707723488009    -368.06731100213193    0.6017019970707729    0.5379557849007945    0.5618446953002167    0.9187313916235501
-368.04510495024135    -368.0707723489768    -368.0707723488009    -368.05896280151643    0.6017019970707729    0.5379557785893258    0.5618446953002167    0.8743575844580889
-368.04510495024135    -368.07077234884105    -368.0707723488009    -368.05960976306136    0.6017019970707729    0.5379557861954299    0.5618446953002167    0.9894959313520286
-368.04510495024135    -368.0707723490181    -368.0707723488009    -368.07217259400755    0.6017019970707729    0.5379557810918333    0.5618446953002167    0.9942506941123594
-368.04510495024135    -368.07077234895723    -368.0707723488009    -368.06267304481395    0.6017019970707729    0.5379557774028004    0.5618446953002167    0.9342043488841703
-368.04510495024135    -368.0707723488179    -368.0707723488009    -368.07829961753777    0.6017019970707729    0.5379557837922084    0.5618446953002167    0.9194752562030661
-368.04510495024135    -368.0707723488743    -368.0707723488009    -368.0639337234286    0.6017019970707729    0.5379557751913533    0.5618446953002167    0.8285954397972757
