E_HF    E_int_FCI_emb    E_FCI_emb    E_CS_emb    Sz_HF    Sz_int_FCI_emb    Sz_FCI_emb    Sz_CS_emb
-368.0860218292702    -368.10326252050913    -368.10326252041    -368.1219237460407    0.6195481686963582    0.5933932755208966    0.6014117355441558    0.8851890144967326
-368.0860218292702    -368.1032625205072    -368.10326252041    -368.09011944571586    0.6195481686963582    0.5933932771580605    0.6014117355441558    1.0042779402635376
-368.0860218292702    -368.1032625205176    -368.10326252041    -368.10335429313545    0.6195481686963582    0.5933932758987721    0.6014117355441558    0.8455323810434296
-368.0860218292702    -368.1032625205431    -368.10326252041    -368.08818285560847    0.6195481686963582    0.5933932740092142    0.6014117355441558    0.8376129021263483
-368.0860218292702    -368.10326252050805    -368.10326252041    -368.0940194728526    0.6195481686963582    0.5933932702391357    0.6014117355441558    0.9307471425564753
-368.0860218292702    -368.10326252053557    -368.10326252041    -368.10246109475713    0.6195481686963582    0.5933932798526793    0.6014117355441558    1.0915734014472902
-368.0860218292702    -368.10326252053966    -368.10326252041    -368.0925596145829    0.6195481686963582    0.5933932683411612    0.6014117355441558    0.9258901142670927
-368.0860218292702    -368.1032625205454    -368.10326252041    -368.1000758329974    0.6195481686963582    0.5933932794606437    0.6014117355441558    0.8986387198250686
-368.0860218292702    -368.1032625205536    -368.10326252041    -368.0889369928878    0.6195481686963582    0.5933932768239122    0.6014117355441558    0.92118102734282
-368.0860218292702    -368.10326252054455    -368.10326252041    -368.1017272283146    0.6195481686963582    0.5933932745691571    0.6014117355441558    1.0195932247934543
-368.0860218292702    -368.1032625205373    -368.10326252041    -368.12206337174604    0.6195481686963582    0.5933932725222633    0.6014117355441558    0.8877230993763374
-368.0860218292702    -368.1032625205436    -368.10326252041    -368.1085274816744    0.6195481686963582    0.5933932743294267    0.6014117355441558    0.8199907434583636
-368.0860218292702    -368.103262520544    -368.10326252041    -368.094082199872    0.6195481686963582    0.5933932712135035    0.6014117355441558    0.9065215273118048
-368.0860218292702    -368.10326252053324    -368.10326252041    -368.1032637155335    0.6195481686963582    0.5933932728812109    0.6014117355441558    0.860597686235372
-368.0860218292702    -368.1032625205398    -368.10326252041    -368.09241364801125    0.6195481686963582    0.5933932758331714    0.6014117355441558    0.877380819227706
-368.0860218292702    -368.10326252054165    -368.10326252041    -368.111032482237    0.6195481686963582    0.5933932768644293    0.6014117355441558    0.9433634175130139
-368.0860218292702    -368.1032625205341    -368.10326252041    -368.0703766226647    0.6195481686963582    0.5933932748985375    0.6014117355441558    0.910134690341686
-368.0860218292702    -368.10326252054307    -368.10326252041    -368.09925676225185    0.6195481686963582    0.5933932740140473    0.6014117355441558    0.9855869561138887
-368.0860218292702    -368.1032625194777    -368.10326252041    -368.0728421286961    0.6195481686963582    0.5933932701059187    0.6014117355441558    0.9219279803338465
-368.0860218292702    -368.1032625205535    -368.10326252041    -368.0916493264734    0.6195481686963582    0.5933932757955375    0.6014117355441558    0.9664823295037922
-368.0860218292702    -368.1032625205445    -368.10326252041    -368.0855542534389    0.6195481686963582    0.5933932759412481    0.6014117355441558    0.930296831521153
-368.0860218292702    -368.1032625205166    -368.10326252041    -368.0868064859476    0.6195481686963582    0.5933932777858546    0.6014117355441558    0.9174821184756794
-368.0860218292702    -368.1032625205398    -368.10326252041    -368.0868784444682    0.6195481686963582    0.5933932763701817    0.6014117355441558    0.9178655845460874
-368.0860218292702    -368.1032625205371    -368.10326252041    -368.0969202855084    0.6195481686963582    0.5933932785411745    0.6014117355441558    0.8857468660921486
-368.0860218292702    -368.10326252054125    -368.10326252041    -368.07160069840955    0.6195481686963582    0.5933932783729606    0.6014117355441558    0.8703789084647794
-368.0860218292702    -368.10326252054386    -368.10326252041    -368.1250521627493    0.6195481686963582    0.5933932766420972    0.6014117355441558    0.9227090928703708
-368.0860218292702    -368.10326252051027    -368.10326252041    -368.0843166988948    0.6195481686963582    0.5933932743098327    0.6014117355441558    1.0234211442738788
-368.0860218292702    -368.103262520533    -368.10326252041    -368.09162856705404    0.6195481686963582    0.5933932744948492    0.6014117355441558    0.8505390066446952
